Gene,Inheritance
IL2,"{Diabetes, mellitus, insulin-dependent, susceptibility to, 10}; AR (Immunodeficiency 41 with lymphoproliferation and autoimmunity); AR (Lymphoproliferative syndrome 1); AR (Immunodeficiency 63 with lymphoproliferation and autoimmunity); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; AR (?Immunodeficiency, common variable, 11); Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked; AR (Immunodeficiency, common variable, 1); AR (Immunodeficiency 56); {Diabetes, mellitus, insulin-dependent, susceptibility to, 10}; AR (Immunodeficiency 41 with lymphoproliferation and autoimmunity); AR (Lymphoproliferative syndrome 1); AR (Immunodeficiency 63 with lymphoproliferation and autoimmunity); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; AR (?Immunodeficiency, common variable, 11); Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked; AR (Immunodeficiency, common variable, 1); AR (Immunodeficiency 56)",
IL20,"{Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); AR ({Diabetes mellitus, insulin-dependent-1}); {Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); AR ({Diabetes mellitus, insulin-dependent-1})",
IL20RA,"{Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); {Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive)",
IL21,"AR (?Immunodeficiency, common variable, 11); AR (Immunodeficiency 56); {Psoriasis susceptibility 3}; {Autoimmune disease, susceptibility to, 5}; {Celiac disease, susceptibility to, 6}; AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections); AR (Growth hormone insensitivity with immune dysregulation 1, autosomal recessive); AD (Growth hormone insensitivity with immune dysregulation 2, autosomal dominant); AR (?Immunodeficiency, common variable, 11); AR (Immunodeficiency 56); {Psoriasis susceptibility 3}; {Autoimmune disease, susceptibility to, 5}; {Celiac disease, susceptibility to, 6}; AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections); AR (Growth hormone insensitivity with immune dysregulation 1, autosomal recessive); AD (Growth hormone insensitivity with immune dysregulation 2, autosomal dominant)",
IL21R,"AR (Immunodeficiency 56); AR (?Immunodeficiency, common variable, 11); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections); AR (Immunodeficiency 56); AR (?Immunodeficiency, common variable, 11); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections)",
IL22,"AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant); AR (Immunodeficiency 42); AR (Immunodeficiency 29, mycobacteriosis); AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant); AR (Immunodeficiency 42); AR (Immunodeficiency 29, mycobacteriosis)",
IL22RA1,"{Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); AR (Hemochromatosis, type 2B); {Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); AR (Hemochromatosis, type 2B)",
IL23A,"AR (Immunodeficiency 29, mycobacteriosis); AR ({Cystic fibrosis lung disease, modifier of}); AD (Camurati-Engelmann disease); AR (Inflammatory bowel disease, immunodeficiency, and encephalopathy); Immunodeficiency 74, COVID19-related, X-linked; Systemic lupus erythematosus 17; AR (Immunodeficiency 29, mycobacteriosis); AR ({Cystic fibrosis lung disease, modifier of}); AD (Camurati-Engelmann disease); AR (Inflammatory bowel disease, immunodeficiency, and encephalopathy); Immunodeficiency 74, COVID19-related, X-linked; Systemic lupus erythematosus 17",
IL23R,"{Inflammatory bowel disease 17, protection against}; {Psoriasis, protection against}; {Psoriasis susceptibility 7}; {Psoriasis susceptibility 11}; {Inflammatory bowel disease 7}; AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant); {Inflammatory bowel disease 17, protection against}; {Psoriasis, protection against}; {Psoriasis susceptibility 7}; {Psoriasis susceptibility 11}; {Inflammatory bowel disease 7}; AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant)",
IL24,"{Multiple sclerosis, susceptibility to, 5}; AD (Periodic fever, familial); AR (Kindler syndrome); {Multiple sclerosis, susceptibility to, 5}; AD (Periodic fever, familial); AR (Kindler syndrome)",
IL25,"{Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); ?Candidiasis, familial, 6, autosomal dominant; {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); ?Candidiasis, familial, 6, autosomal dominant",
IL26,"{Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); AR ({Diabetes mellitus, insulin-dependent-1}); {Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); AR ({Diabetes mellitus, insulin-dependent-1})",
IL27,"AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant); AD (?Immunodeficiency 94 with autoinflammation and dysmorphic facies); AD (Hyper-IgE syndrome 4A, autosomal dominant, with recurrent infections); AR (Hyper-IgE syndrome 4B, autosomal recessive, with recurrent infections); AR (Stuve-Wiedemann syndrome 2); AR ({Diabetes mellitus, insulin-dependent-1}); {Inflammatory bowel disease 8}; AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant); AD (?Immunodeficiency 94 with autoinflammation and dysmorphic facies); AD (Hyper-IgE syndrome 4A, autosomal dominant, with recurrent infections); AR (Hyper-IgE syndrome 4B, autosomal recessive, with recurrent infections); AR (Stuve-Wiedemann syndrome 2); AR ({Diabetes mellitus, insulin-dependent-1}); {Inflammatory bowel disease 8}",
IL2RA,"{Diabetes, mellitus, insulin-dependent, susceptibility to, 10}; AR (Immunodeficiency 41 with lymphoproliferation and autoimmunity); {Multiple sclerosis, susceptibility to, 2}; AR (Immunodeficiency 63 with lymphoproliferation and autoimmunity); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; {Diabetes, mellitus, insulin-dependent, susceptibility to, 10}; AR (Immunodeficiency 41 with lymphoproliferation and autoimmunity); {Multiple sclerosis, susceptibility to, 2}; AR (Immunodeficiency 63 with lymphoproliferation and autoimmunity); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked",
IL2RB,"AR (Immunodeficiency 63 with lymphoproliferation and autoimmunity); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; {Diabetes, mellitus, insulin-dependent, susceptibility to, 10}; AR (Immunodeficiency 41 with lymphoproliferation and autoimmunity); AR (Immunodeficiency 56); AR (Immunodeficiency 63 with lymphoproliferation and autoimmunity); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; {Diabetes, mellitus, insulin-dependent, susceptibility to, 10}; AR (Immunodeficiency 41 with lymphoproliferation and autoimmunity); AR (Immunodeficiency 56)",
IL2RG,"Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; Leukemia, acute T-cell; AR (Immunodeficiency 56); AR (Severe combined immunodeficiency, autosomal recessive, T-negative/B-positive type); AR (Growth hormone insensitivity with immune dysregulation 1, autosomal recessive); AD (Growth hormone insensitivity with immune dysregulation 2, autosomal dominant); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; Leukemia, acute T-cell; AR (Immunodeficiency 56); AR (Severe combined immunodeficiency, autosomal recessive, T-negative/B-positive type); AR (Growth hormone insensitivity with immune dysregulation 1, autosomal recessive); AD (Growth hormone insensitivity with immune dysregulation 2, autosomal dominant)",
IL3,"AR (Surfactant metabolism dysfunction, pulmonary, 5); AD (Leukemia, acute myeloid); AD (Platelet disorder, familial, with associated myeloid malignancy); AR (Surfactant metabolism dysfunction, pulmonary, 5); AD (Leukemia, acute myeloid); AD (Platelet disorder, familial, with associated myeloid malignancy)",
IL31,"AD (?Amyloidosis, primary localized cutaneous, 2); AD (Amyloidosis, primary localized cutaneous, 1); AD (?Amyloidosis, primary localized cutaneous, 2); AD (Amyloidosis, primary localized cutaneous, 1)",
IL31RA,"AD (?Amyloidosis, primary localized cutaneous, 2); AD (Amyloidosis, primary localized cutaneous, 1); AD (?Amyloidosis, primary localized cutaneous, 2); AD (Amyloidosis, primary localized cutaneous, 1)",
IL33,"{Dengue fever, protection against}; {HIV type 1, susceptibility to}; {Mycobacterium tuberculosis, susceptibility to}; {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); AD (Hyper-IgE syndrome 6, autosomal dominant, with recurrent infections); AD (Intellectual developmental disorder, autosomal dominant 48); {Gastric cancer risk after H. pylori infection}; {Dengue fever, protection against}; {HIV type 1, susceptibility to}; {Mycobacterium tuberculosis, susceptibility to}; {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); AD (Hyper-IgE syndrome 6, autosomal dominant, with recurrent infections); AD (Intellectual developmental disorder, autosomal dominant 48); {Gastric cancer risk after H. pylori infection}",
IL34,"AD ({Hemolytic uremic syndrome, atypical, susceptibility to, 5}); {Macular degeneration, age-related, 9}; AR (C3 deficiency); AD ({Hemolytic uremic syndrome, atypical, susceptibility to, 5}); {Macular degeneration, age-related, 9}; AR (C3 deficiency)",
IL36A,"AR (Psoriasis 14, pustular); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31); AR (Psoriasis 14, pustular); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31)",
IL36B,"AR (Psoriasis 14, pustular); AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AR (Psoriasis 14, pustular); AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}",
IL36G,"{Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AR (Psoriasis 14, pustular); AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31); AD (Pityriasis rubra pilaris); AD (Psoriasis 2); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AR (Psoriasis 14, pustular); AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31); AD (Pityriasis rubra pilaris); AD (Psoriasis 2)",
IL36RN,"AR (Psoriasis 14, pustular); AD (Pityriasis rubra pilaris); AD (Psoriasis 2); AD ({Psoriasis 15, pustular, susceptibility to}); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AR (Psoriasis 14, pustular); AD (Pityriasis rubra pilaris); AD (Psoriasis 2); AD ({Psoriasis 15, pustular, susceptibility to}); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}",
IL37,"AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AR (Psoriasis 14, pustular); AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AR (Psoriasis 14, pustular)",
IL3RA,"Raynaud-Claes syndrome; AR (Surfactant metabolism dysfunction, pulmonary, 5); AD (Leukemia, acute myeloid); AD (Platelet disorder, familial, with associated myeloid malignancy); AR (Amegakaryocytic thrombocytopenia, congenital, 1); Myelofibrosis with myeloid metaplasia, somatic; AD (Thrombocythemia 2); Raynaud-Claes syndrome; AR (Surfactant metabolism dysfunction, pulmonary, 5); AD (Leukemia, acute myeloid); AD (Platelet disorder, familial, with associated myeloid malignancy); AR (Amegakaryocytic thrombocytopenia, congenital, 1); Myelofibrosis with myeloid metaplasia, somatic; AD (Thrombocythemia 2)",
